"Program","Year","Period","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","Domain","use","details","Value","CV....","Fruit","Category","Item","Metric","name","code"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"TOTAL","NOT SPECIFIED",NA,7,13.2,"Strawberries",NA,"ACRES BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"TOTAL","NOT SPECIFIED",NA,7,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"TOTAL","NOT SPECIFIED",NA,6,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"TOTAL","NOT SPECIFIED",NA,6,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"TOTAL","NOT SPECIFIED",NA,1,13.2,"Strawberries",NA,"ACRES BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"TOTAL","NOT SPECIFIED",NA,1,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"TOTAL","NOT SPECIFIED",NA,4,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"TOTAL","NOT SPECIFIED",NA,4,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"MARSHALL",95,"TOTAL","NOT SPECIFIED",NA,2,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"MARSHALL",95,"TOTAL","NOT SPECIFIED",NA,2,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"TOTAL","NOT SPECIFIED",NA,10,13.2,"Strawberries",NA,"ACRES BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"TOTAL","NOT SPECIFIED",NA,10,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"TOTAL","NOT SPECIFIED",NA,8,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"TOTAL","NOT SPECIFIED",NA,8,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LAUDERDALE",77,"TOTAL","NOT SPECIFIED",NA,2,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LAUDERDALE",77,"TOTAL","NOT SPECIFIED",NA,2,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LIMESTONE",83,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LIMESTONE",83,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MADISON",89,"TOTAL","NOT SPECIFIED",NA,2,NA,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MADISON",89,"TOTAL","NOT SPECIFIED",NA,2,NA,"Strawberries",NA,"OPERATIONS WITH AREA NON-BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"TOTAL","NOT SPECIFIED",NA,2,13.2,"Strawberries",NA,"ACRES BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"TOTAL","NOT SPECIFIED",NA,2,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"TOTAL","NOT SPECIFIED",NA,3,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"TOTAL","NOT SPECIFIED",NA,6,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"TOTAL","NOT SPECIFIED",NA,3,47.6,"Strawberries",NA,"OPERATIONS WITH AREA NON-BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"TOTAL","NOT SPECIFIED",NA,61,13.2,"Strawberries",NA,"ACRES BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"TOTAL","NOT SPECIFIED",NA,61,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"TOTAL","NOT SPECIFIED",NA,13,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"TOTAL","NOT SPECIFIED",NA,13,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"BIBB",7,"TOTAL","NOT SPECIFIED",NA,1,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"BIBB",7,"TOTAL","NOT SPECIFIED",NA,1,47.6,"Strawberries",NA,"OPERATIONS WITH AREA NON-BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"TOTAL","NOT SPECIFIED",NA,16,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"TOTAL","NOT SPECIFIED",NA,4,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"TOTAL","NOT SPECIFIED",NA,4,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"TOTAL","NOT SPECIFIED",NA,2,47.6,"Strawberries",NA,"OPERATIONS WITH AREA NON-BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"TOTAL","NOT SPECIFIED",NA,8,13.2,"Strawberries",NA,"ACRES BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"TOTAL","NOT SPECIFIED",NA,8,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"TOTAL","NOT SPECIFIED",NA,8,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"TOTAL","NOT SPECIFIED",NA,8,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"TOTAL","NOT SPECIFIED",NA,8,13.2,"Strawberries",NA,"ACRES BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"TOTAL","NOT SPECIFIED",NA,8,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"TOTAL","NOT SPECIFIED",NA,5,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"TOTAL","NOT SPECIFIED",NA,5,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"RANDOLPH",111,"TOTAL","NOT SPECIFIED",NA,4,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"RANDOLPH",111,"TOTAL","NOT SPECIFIED",NA,4,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"TOTAL","NOT SPECIFIED",NA,3,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"TOTAL","NOT SPECIFIED",NA,3,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"TOTAL","NOT SPECIFIED",NA,3,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"TOTAL","NOT SPECIFIED",NA,1,47.6,"Strawberries",NA,"OPERATIONS WITH AREA NON-BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TALLADEGA",121,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TALLADEGA",121,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA",125,"TOTAL","NOT SPECIFIED",NA,2,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA",125,"TOTAL","NOT SPECIFIED",NA,2,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"WALKER",127,"TOTAL","NOT SPECIFIED",NA,1,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"WALKER",127,"TOTAL","NOT SPECIFIED",NA,1,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"COVINGTON",39,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"COVINGTON",39,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"GENEVA",61,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"GENEVA",61,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"HOUSTON",69,"TOTAL","NOT SPECIFIED",NA,1,13.2,"Strawberries",NA,"ACRES BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"HOUSTON",69,"TOTAL","NOT SPECIFIED",NA,1,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"HOUSTON",69,"TOTAL","NOT SPECIFIED",NA,4,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"HOUSTON",69,"TOTAL","NOT SPECIFIED",NA,4,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"RUSSELL",113,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"WIREGRASS",60,"RUSSELL",113,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"KENAI PENINSULA",30,"KENAI PENINSULA",NA,"TOTAL","NOT SPECIFIED",NA,4,NA,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"KENAI PENINSULA",30,"KENAI PENINSULA",NA,"TOTAL","NOT SPECIFIED",NA,21,NA,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"KENAI PENINSULA",30,"KENAI PENINSULA",NA,"TOTAL","NOT SPECIFIED",NA,24,NA,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"KENAI PENINSULA",30,"KENAI PENINSULA",NA,"TOTAL","NOT SPECIFIED",NA,6,NA,"Strawberries",NA,"OPERATIONS WITH AREA NON-BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"MATANUSKA-SUSITNA-ANCHORAGE",20,"ANCHORAGE",NA,"TOTAL","NOT SPECIFIED",NA,11,NA,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"MATANUSKA-SUSITNA-ANCHORAGE",20,"ANCHORAGE",NA,"TOTAL","NOT SPECIFIED",NA,12,NA,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"MATANUSKA-SUSITNA-ANCHORAGE",20,"ANCHORAGE",NA,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA NON-BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"SOUTHEAST",40,"JUNEAU",NA,"TOTAL","NOT SPECIFIED",NA,3,NA,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"SOUTHEAST",40,"JUNEAU",NA,"TOTAL","NOT SPECIFIED",NA,3,NA,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"SOUTHWEST & WEST",50,"ALEUTIAN ISLANDS",NA,"TOTAL","NOT SPECIFIED",NA,2,NA,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"SOUTHWEST & WEST",50,"ALEUTIAN ISLANDS",NA,"TOTAL","NOT SPECIFIED",NA,2,NA,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"TANANA VALLEY",10,"FAIRBANKS NORTH STAR",NA,"TOTAL","NOT SPECIFIED",NA,7,NA,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"TANANA VALLEY",10,"FAIRBANKS NORTH STAR",NA,"TOTAL","NOT SPECIFIED",NA,8,NA,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"TANANA VALLEY",10,"FAIRBANKS NORTH STAR",NA,"TOTAL","NOT SPECIFIED",NA,9,NA,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALASKA",2,"TANANA VALLEY",10,"FAIRBANKS NORTH STAR",NA,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA NON-BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ARIZONA",4,"NORTHERN",10,"MOHAVE",15,"TOTAL","NOT SPECIFIED",NA,3,52.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ARIZONA",4,"NORTHERN",10,"MOHAVE",15,"TOTAL","NOT SPECIFIED",NA,3,35,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ARIZONA",4,"NORTHERN",10,"NAVAJO",17,"TOTAL","NOT SPECIFIED",NA,1,63.2,"Strawberries",NA,"ACRES BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ARIZONA",4,"NORTHERN",10,"NAVAJO",17,"TOTAL","NOT SPECIFIED",NA,2,61,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ARIZONA",4,"NORTHERN",10,"NAVAJO",17,"TOTAL","NOT SPECIFIED",NA,7,52.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
